experiment_id,beta,base_cutoff,new_prime,n_residue_seed,interval,old_mass,conditional_next_mass,abs_error,status
1,-1.000000000000e+00,5,7,0,"[0,1/2)",6.235329311290e-01,6.235329311290e-01,0.000000000000e+00,public_martingale_identity_support
1,-1.000000000000e+00,5,7,0,"[1/3,2/3)",7.068413506750e-01,7.068413506750e-01,0.000000000000e+00,public_martingale_identity_support
1,-1.000000000000e+00,5,7,17,"[0,1/2)",6.312285557130e-01,6.312285557130e-01,0.000000000000e+00,public_martingale_identity_support
1,-1.000000000000e+00,5,7,17,"[1/3,2/3)",9.566057439700e-02,9.566057439700e-02,0.000000000000e+00,public_martingale_identity_support
1,-1.000000000000e+00,5,7,29,"[0,1/2)",7.251553138190e-01,7.251553138190e-01,0.000000000000e+00,public_martingale_identity_support
1,-1.000000000000e+00,5,7,29,"[1/3,2/3)",1.778464877400e-01,1.778464877400e-01,0.000000000000e+00,public_martingale_identity_support
1,-1.000000000000e+00,5,11,0,"[0,1/2)",6.235329311290e-01,6.235329311290e-01,0.000000000000e+00,public_martingale_identity_support
1,-1.000000000000e+00,5,11,0,"[1/3,2/3)",7.068413506750e-01,7.068413506750e-01,0.000000000000e+00,public_martingale_identity_support
1,-1.000000000000e+00,5,11,17,"[0,1/2)",6.312285557130e-01,6.312285557130e-01,0.000000000000e+00,public_martingale_identity_support
1,-1.000000000000e+00,5,11,17,"[1/3,2/3)",9.566057439700e-02,9.566057439700e-02,0.000000000000e+00,public_martingale_identity_support
1,-1.000000000000e+00,5,11,29,"[0,1/2)",7.251553138190e-01,7.251553138190e-01,0.000000000000e+00,public_martingale_identity_support
1,-1.000000000000e+00,5,11,29,"[1/3,2/3)",1.778464877400e-01,1.778464877400e-01,0.000000000000e+00,public_martingale_identity_support
1,5.000000000000e-01,5,7,0,"[0,1/2)",5.656770768660e-01,5.656770768660e-01,0.000000000000e+00,public_martingale_identity_support
1,5.000000000000e-01,5,7,0,"[1/3,2/3)",1.831778287130e-01,1.831778287130e-01,0.000000000000e+00,public_martingale_identity_support
1,5.000000000000e-01,5,7,17,"[0,1/2)",4.758444187930e-01,4.758444187930e-01,0.000000000000e+00,public_martingale_identity_support
1,5.000000000000e-01,5,7,17,"[1/3,2/3)",4.979289631660e-01,4.979289631660e-01,0.000000000000e+00,public_martingale_identity_support
1,5.000000000000e-01,5,7,29,"[0,1/2)",3.638902584240e-01,3.638902584240e-01,0.000000000000e+00,public_martingale_identity_support
1,5.000000000000e-01,5,7,29,"[1/3,2/3)",3.999690728430e-01,3.999690728430e-01,0.000000000000e+00,public_martingale_identity_support
1,5.000000000000e-01,5,11,0,"[0,1/2)",5.656770768660e-01,5.656770768660e-01,0.000000000000e+00,public_martingale_identity_support
1,5.000000000000e-01,5,11,0,"[1/3,2/3)",1.831778287130e-01,1.831778287130e-01,0.000000000000e+00,public_martingale_identity_support
1,5.000000000000e-01,5,11,17,"[0,1/2)",4.758444187930e-01,4.758444187930e-01,0.000000000000e+00,public_martingale_identity_support
1,5.000000000000e-01,5,11,17,"[1/3,2/3)",4.979289631660e-01,4.979289631660e-01,0.000000000000e+00,public_martingale_identity_support
1,5.000000000000e-01,5,11,29,"[0,1/2)",3.638902584240e-01,3.638902584240e-01,0.000000000000e+00,public_martingale_identity_support
1,5.000000000000e-01,5,11,29,"[1/3,2/3)",3.999690728430e-01,3.999690728430e-01,0.000000000000e+00,public_martingale_identity_support
1,1.000000000000e+00,5,7,0,"[0,1/2)",7.809884143490e-01,7.809884143490e-01,0.000000000000e+00,public_martingale_identity_support
1,1.000000000000e+00,5,7,0,"[1/3,2/3)",8.484291848500e-02,8.484291848500e-02,0.000000000000e+00,public_martingale_identity_support
1,1.000000000000e+00,5,7,17,"[0,1/2)",4.630493376650e-01,4.630493376650e-01,0.000000000000e+00,public_martingale_identity_support
1,1.000000000000e+00,5,7,17,"[1/3,2/3)",6.269090842800e-01,6.269090842800e-01,0.000000000000e+00,public_martingale_identity_support
1,1.000000000000e+00,5,7,29,"[0,1/2)",2.366024115560e-01,2.366024115560e-01,0.000000000000e+00,public_martingale_identity_support
1,1.000000000000e+00,5,7,29,"[1/3,2/3)",4.287680239350e-01,4.287680239350e-01,0.000000000000e+00,public_martingale_identity_support
1,1.000000000000e+00,5,11,0,"[0,1/2)",7.809884143490e-01,7.809884143490e-01,0.000000000000e+00,public_martingale_identity_support
1,1.000000000000e+00,5,11,0,"[1/3,2/3)",8.484291848500e-02,8.484291848500e-02,0.000000000000e+00,public_martingale_identity_support
1,1.000000000000e+00,5,11,17,"[0,1/2)",4.630493376650e-01,4.630493376650e-01,0.000000000000e+00,public_martingale_identity_support
1,1.000000000000e+00,5,11,17,"[1/3,2/3)",6.269090842800e-01,6.269090842800e-01,0.000000000000e+00,public_martingale_identity_support
1,1.000000000000e+00,5,11,29,"[0,1/2)",2.366024115560e-01,2.366024115560e-01,0.000000000000e+00,public_martingale_identity_support
1,1.000000000000e+00,5,11,29,"[1/3,2/3)",4.287680239350e-01,4.287680239350e-01,0.000000000000e+00,public_martingale_identity_support
