experiment_id,cutoff,beta,delta,two_point_moment_factor,log_power_proxy,shell_integral_proxy,status
4,31,1.000000000000e+00,1/4,5.780870226930e-01,1.303849003569e+01,1.445217556730e-01,public_two_point_integrability_support
4,31,1.000000000000e+00,1/16,2.253534886009e+00,5.041080744426e+01,1.408459303760e-01,public_two_point_integrability_support
4,31,1.000000000000e+00,1/64,5.460804272654e+00,1.270033790489e+02,8.532506676000e-02,public_two_point_integrability_support
4,31,1.000000000000e+00,1/256,5.460804272654e+00,2.564494906557e+02,2.133126669000e-02,public_two_point_integrability_support
4,101,1.000000000000e+00,1/4,5.709796030660e-01,1.303849003569e+01,1.427449007670e-01,public_two_point_integrability_support
4,101,1.000000000000e+00,1/16,2.225828299544e+00,5.041080744426e+01,1.391142687210e-01,public_two_point_integrability_support
4,101,1.000000000000e+00,1/64,5.393665198532e+00,1.270033790489e+02,8.427601872700e-02,public_two_point_integrability_support
4,101,1.000000000000e+00,1/256,1.054323452662e+01,2.564494906557e+02,4.118450987000e-02,public_two_point_integrability_support
4,251,1.000000000000e+00,1/4,5.691345355230e-01,1.303849003569e+01,1.422836338810e-01,public_two_point_integrability_support
4,251,1.000000000000e+00,1/16,2.218635742174e+00,5.041080744426e+01,1.386647338860e-01,public_two_point_integrability_support
4,251,1.000000000000e+00,1/64,5.376236070517e+00,1.270033790489e+02,8.400368860200e-02,public_two_point_integrability_support
4,251,1.000000000000e+00,1/256,1.193335455402e+01,2.564494906557e+02,4.661466622700e-02,public_two_point_integrability_support
