experiment_id,beta,cutoff,test_function,mean,variance,delta_from_previous_cutoff,status
5,-7.500000000000e-01,5,one,1.000000000000e+00,5.143081363000e-03,,public_weak_convergence_support
5,-7.500000000000e-01,5,cos_1,0.000000000000e+00,7.423184453400e-02,,public_weak_convergence_support
5,-7.500000000000e-01,5,sin_1,0.000000000000e+00,2.242061606900e-02,,public_weak_convergence_support
5,-7.500000000000e-01,5,interval_0_1_2,5.000000000000e-01,1.207157776800e-02,,public_weak_convergence_support
5,-7.500000000000e-01,7,one,1.000000000000e+00,6.633934940000e-03,0.000000000000e+00,public_weak_convergence_support
5,-7.500000000000e-01,7,cos_1,0.000000000000e+00,7.772208881400e-02,0.000000000000e+00,public_weak_convergence_support
5,-7.500000000000e-01,7,sin_1,0.000000000000e+00,2.595157350200e-02,0.000000000000e+00,public_weak_convergence_support
5,-7.500000000000e-01,7,interval_0_1_2,5.000000000000e-01,1.410443417600e-02,0.000000000000e+00,public_weak_convergence_support
5,7.500000000000e-01,5,one,1.000000000000e+00,1.150313443100e-02,,public_weak_convergence_support
5,7.500000000000e-01,5,cos_1,0.000000000000e+00,9.360020244000e-02,,public_weak_convergence_support
5,7.500000000000e-01,5,sin_1,0.000000000000e+00,4.146466495400e-02,,public_weak_convergence_support
5,7.500000000000e-01,5,interval_0_1_2,5.000000000000e-01,2.271964012500e-02,,public_weak_convergence_support
5,7.500000000000e-01,7,one,1.000000000000e+00,1.793284398300e-02,0.000000000000e+00,public_weak_convergence_support
5,7.500000000000e-01,7,cos_1,0.000000000000e+00,1.044793458530e-01,0.000000000000e+00,public_weak_convergence_support
5,7.500000000000e-01,7,sin_1,0.000000000000e+00,5.205796819500e-02,0.000000000000e+00,public_weak_convergence_support
5,7.500000000000e-01,7,interval_0_1_2,5.000000000000e-01,2.933927750200e-02,0.000000000000e+00,public_weak_convergence_support
