experiment,N,cutoff_y,moment,modulus_M_y,M_y_log_y_power_m_over_N,dyadic_moment,complete_period_moment,absolute_error_vs_period,moment_transfer_bound,within_moment_bound,status
moment_transfer_sweep,240,5,1,30,2.011797390540e-01,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,9.375000000000e-01,True,public_moment_transfer_support
moment_transfer_sweep,240,5,2,30,3.237862992480e-01,1.203645833333e+00,1.203645833333e+00,0.000000000000e+00,3.515625000000e+00,True,public_moment_transfer_support
moment_transfer_sweep,240,5,3,30,5.211139455360e-01,1.616601562500e+00,1.616601562500e+00,0.000000000000e+00,1.318359375000e+01,True,public_moment_transfer_support
moment_transfer_sweep,240,5,4,30,8.387005406430e-01,2.339235432943e+00,2.339235432943e+00,0.000000000000e+00,4.943847656250e+01,True,public_moment_transfer_support
moment_transfer_sweep,840,7,1,210,4.864775372640e-01,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,2.187500000000e+00,True,public_moment_transfer_support
moment_transfer_sweep,840,7,2,210,9.466415770490e-01,1.252635168651e+00,1.252635168651e+00,0.000000000000e+00,9.570312500000e+00,True,public_moment_transfer_support
moment_transfer_sweep,840,7,3,210,1.842079452298e+00,1.784937298487e+00,1.784937298487e+00,0.000000000000e+00,4.187011718750e+01,True,public_moment_transfer_support
moment_transfer_sweep,840,7,4,210,3.584521101592e+00,2.775555351970e+00,2.775555351970e+00,0.000000000000e+00,1.831817626953e+02,True,public_moment_transfer_support
moment_transfer_sweep,6000,11,1,2310,9.231896800270e-01,9.999793402780e-01,1.000000000000e+00,2.065972200000e-05,3.705625000000e+00,True,public_moment_transfer_support
moment_transfer_sweep,6000,11,2,2310,2.213712169634e+00,1.276014131040e+00,1.276339877570e+00,3.257465300000e-04,1.783332031250e+01,True,public_moment_transfer_support
moment_transfer_sweep,6000,11,3,2310,5.308249946901e+00,1.869144006878e+00,1.869655636830e+00,5.116299520000e-04,8.582285400391e+01,True,public_moment_transfer_support
moment_transfer_sweep,6000,11,4,2310,1.272862745451e+01,3.009021233773e+00,3.008198845332e+00,8.223884410000e-04,4.130224848938e+02,True,public_moment_transfer_support
