experiment_id,cutoff,delta,hard_two_point_factor,collision_reciprocal_sum,log_power_proxy,shell_integral_proxy,status
5,31,1/4,0.000000000000e+00,0,5.694400777913e+00,0.000000000000e+00,public_two_point_l2_route_diagnostic
5,31,1/16,4.252155864139e+00,247/210,1.423242566717e+01,2.657597415090e-01,public_two_point_l2_route_diagnostic
5,31,1/64,6.542269709081e+00,314016924901/200560490130,2.661407466778e+01,1.022229642040e-01,public_two_point_l2_route_diagnostic
5,31,1/256,6.542269709081e+00,314016924901/200560490130,4.283934777972e+01,2.555574105100e-02,public_two_point_l2_route_diagnostic
5,101,1/4,0.000000000000e+00,0,5.694400777913e+00,0.000000000000e+00,public_two_point_l2_route_diagnostic
5,101,1/16,4.232390059768e+00,247/210,1.423242566717e+01,2.645243787350e-01,public_two_point_l2_route_diagnostic
5,101,1/64,6.511858494782e+00,314016924901/200560490130,2.661407466778e+01,1.017477889810e-01,public_two_point_l2_route_diagnostic
5,101,1/256,8.394470952705e+00,422113843906354093775418512493046577809/232862364358497360900063316880507363070,4.283934777972e+01,3.279090215900e-02,public_two_point_l2_route_diagnostic
5,251,1/4,0.000000000000e+00,0,5.694400777913e+00,0.000000000000e+00,public_two_point_l2_route_diagnostic
5,251,1/16,4.227572580702e+00,247/210,1.423242566717e+01,2.642232862940e-01,public_two_point_l2_route_diagnostic
5,251,1/64,6.504446431732e+00,314016924901/200560490130,2.661407466778e+01,1.016319754960e-01,public_two_point_l2_route_diagnostic
5,251,1/256,8.775858969391e+00,7457575819106455685806801283735357697478405891621/4014476939333036189094441199026045136645885247730,4.283934777972e+01,3.428069909900e-02,public_two_point_l2_route_diagnostic
